2018-06-25 11:57:27.6886 | INFO | Eshop.Controllers.HomeController | CATEGORY 
2018-06-25 12:05:10.8519 | INFO | Eshop.MvcApplication | Application Start
2018-06-25 12:05:12.3255 | INFO | Eshop.MvcApplication | Application Init
2018-06-25 12:05:12.3860 | INFO | Eshop.MvcApplication | Application Init
2018-06-25 12:05:25.1507 | INFO | Eshop.Controllers.HomeController | CATEGORY 
2018-06-25 12:05:32.6332 | INFO | Eshop.MvcApplication | Application Init
2018-06-25 12:05:32.6449 | INFO | Eshop.MvcApplication | Application Init
2018-06-25 12:05:42.8217 | INFO | Eshop.Controllers.HomeController | CATEGORY Monitors
2018-06-25 12:05:52.6919 | INFO | Eshop.Controllers.HomeController | CATEGORY CellPhones
2018-06-25 12:06:27.2897 | INFO | Eshop.Controllers.HomeController | CATEGORY 
2018-06-25 12:06:59.9939 | INFO | Eshop.MvcApplication | Application Dispose
2018-06-25 12:07:30.0048 | INFO | Eshop.MvcApplication | Application Dispose
2018-06-25 12:07:48.1777 | INFO | Eshop.Controllers.HomeController | CATEGORY CellPhones
2018-06-25 12:07:50.3115 | INFO | Eshop.MvcApplication | Application Init
2018-06-25 12:07:50.3115 | INFO | Eshop.MvcApplication | Application Init
2018-06-25 12:07:56.3720 | INFO | Eshop.Controllers.HomeController | CATEGORY 
2018-06-25 12:08:18.0557 | INFO | Eshop.Controllers.HomeController | CATEGORY 
2018-06-25 12:08:23.3438 | INFO | Eshop.Controllers.HomeController | CATEGORY 
2018-06-25 12:08:32.8585 | ERROR | Eshop.Controllers.HomeController | Exception occured in index
2018-06-25 12:08:34.2003 | INFO | Eshop.Controllers.HomeController | CATEGORY 
2018-06-25 12:09:30.4984 | INFO | Eshop.MvcApplication | Application Start | 
2018-06-25 12:09:30.6839 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:09:30.7464 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:09:43.1322 | INFO | Eshop.Controllers.HomeController | CATEGORY  | 
2018-06-25 12:09:51.9486 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:09:51.9486 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:10:23.2935 | INFO | Eshop.Controllers.HomeController | CATEGORY Monitors | 
2018-06-25 12:11:12.9421 | INFO | Eshop.MvcApplication | Application Error | 
2018-06-25 12:11:21.6257 | INFO | Eshop.MvcApplication | Application Dispose | 
2018-06-25 12:11:23.6501 | INFO | Eshop.MvcApplication | Application Error | 
2018-06-25 12:11:28.8220 | ERROR | Eshop.Controllers.HomeController | Exception occured in index | System.OutOfMemoryException: Insufficient memory to continue the execution of the program.
   at Eshop.Controllers.HomeController.Index(Int32 page) in C:\Users\Алексей\Desktop\Eshop - Copy - Copy (2)\Eshop\Controllers\HomeController.cs:line 28
2018-06-25 12:11:29.9197 | INFO | Eshop.Controllers.HomeController | CATEGORY  | 
2018-06-25 12:11:31.6775 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:12:21.6347 | INFO | Eshop.MvcApplication | Application Dispose | 
2018-06-25 12:15:03.9333 | INFO | Eshop.MvcApplication | Application Start | 
2018-06-25 12:15:06.3288 | INFO | Eshop.MvcApplication | Application Init | 
2018-06-25 12:15:06.3923 | INFO | Eshop.MvcApplication | Application Init | 
